s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0216283E+000, 2.0034140E+001, 2.0045648E+001, 2.0060492E+001, 2.0076056E+001, 2.1182802E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0087704E+001, 2.0062406E+001, 2.0049044E+001, 2.0042272E+001, 2.0038911E+001, 2.0036613E+001, 2.0034460E+001, 2.0032020E+001, 2.0003991E+001, 2.0003494E+001, 2.0003115E+001, 2.0002843E+001, 2.0002488E+001, 2.0002287E+001, 2.0001965E+001, 2.0001801E+001, 2.0001555E+001, 2.0001392E+001, 2.0001192E+001, 2.0001090E+001, 2.0000912E+001, 2.0000851E+001, 2.0000699E+001, 2.0000650E+001, 2.0000547E+001, 2.0000492E+001, 2.0000429E+001, 2.0000380E+001, 2.0000316E+001, 2.0000289E+001
 2.0024057E+000, 2.0247222E+001, 2.0304826E+001, 2.0378270E+001, 2.0449552E+001, 2.1065234E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.1060193E+001, 2.0562202E+001, 2.0369093E+001, 2.0296762E+001, 2.0255985E+001, 2.0228917E+001, 2.0207686E+001, 2.0189549E+001, 2.0159118E+001, 2.0128124E+001, 2.0108634E+001, 2.0100101E+001, 2.0087630E+001, 2.0080015E+001, 2.0069573E+001, 2.0063293E+001, 2.0054716E+001, 2.0049562E+001, 2.0042661E+001, 2.0038565E+001, 2.0033043E+001, 2.0029790E+001, 2.0025470E+001, 2.0022933E+001, 2.0019586E+001, 2.0017641E+001, 2.0015067E+001, 2.0013598E+001, 2.0011661E+001, 2.0010556E+001
 3.0126800E+000, 2.0630912E+001, 2.0739762E+001, 2.0860552E+001, 2.0926182E+001, 2.0910899E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.2921319E+001, 2.2414024E+001, 2.1759716E+001, 2.1230646E+001, 2.0928453E+001, 2.0749779E+001, 2.0629494E+001, 2.0541042E+001, 2.0388939E+001, 2.0339337E+001, 2.0275770E+001, 2.0247347E+001, 2.0217195E+001, 2.0198460E+001, 2.0173229E+001, 2.0158404E+001, 2.0138581E+001, 2.0126601E+001, 2.0110778E+001, 2.0101399E+001, 2.0088637E+001, 2.0081086E+001, 2.0070940E+001, 2.0064887E+001, 2.0056846E+001, 2.0052076E+001, 2.0045707E+001, 2.0041966E+001, 2.0037041E+001, 2.0034357E+001
 4.0079929E+000, 2.2234669E+001, 2.2623590E+001, 2.3101575E+001, 2.4317776E+001, 2.5858334E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7152088E+001, 2.5691820E+001, 2.4754151E+001, 2.3945056E+001, 2.3230614E+001, 2.2643802E+001, 2.2195899E+001, 2.1852226E+001, 2.1411307E+001, 2.1187966E+001, 2.0980373E+001, 2.0875644E+001, 2.0745826E+001, 2.0677988E+001, 2.0588604E+001, 2.0536217E+001, 2.0468286E+001, 2.0428578E+001, 2.0376043E+001, 2.0345358E+001, 2.0304663E+001, 2.0280454E+001, 2.0248402E+001, 2.0229292E+001, 2.0203975E+001, 2.0188934E+001, 2.0168951E+001, 2.0157169E+001, 2.0141730E+001, 2.0133315E+001
 5.0103324E+000, 2.5864448E+001, 2.7076389E+001, 2.8473888E+001, 2.9777864E+001, 2.5734570E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.9817186E+001, 2.8582739E+001, 2.7743068E+001, 2.6944436E+001, 2.6174476E+001, 2.5419825E+001, 2.4722297E+001, 2.4100227E+001, 2.3295989E+001, 2.2882066E+001, 2.2377404E+001, 2.2125046E+001, 2.1811783E+001, 2.1632868E+001, 2.1410074E+001, 2.1282000E+001, 2.1114322E+001, 2.1018017E+001, 2.0891565E+001, 2.0817785E+001, 2.0720893E+001, 2.0663961E+001, 2.0588236E+001, 2.0543630E+001, 2.0484139E+001, 2.0449019E+001, 2.0402257E+001, 2.0374680E+001, 2.0338432E+001, 2.0318886E+001
 6.0074211E+000, 2.7971291E+001, 2.8978559E+001, 2.9966646E+001, 3.0949131E+001, 2.6955700E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.0825944E+001, 2.9941763E+001, 2.9230292E+001, 2.8614275E+001, 2.8006329E+001, 2.7371199E+001, 2.6619728E+001, 2.5757235E+001, 2.4990130E+001, 2.4503640E+001, 2.3827844E+001, 2.3436611E+001, 2.2941375E+001, 2.2653438E+001, 2.2275971E+001, 2.2061910E+001, 2.1782469E+001, 2.1620392E+001, 2.1410265E+001, 2.1288071E+001, 2.1128183E+001, 2.1035410E+001, 2.0912693E+001, 2.0840766E+001, 2.0745440E+001, 2.0689410E+001, 2.0615137E+001, 2.0571494E+001, 2.0514076E+001, 2.0483996E+001
 7.0043686E+000, 2.9086076E+001, 3.0097468E+001, 3.1430840E+001, 3.3138535E+001, 4.1568862E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.2520974E+001, 3.1908348E+001, 3.1373457E+001, 3.0813610E+001, 3.0077668E+001, 2.9284026E+001, 2.8365442E+001, 2.7541225E+001, 2.6746156E+001, 2.6203845E+001, 2.5446657E+001, 2.4990212E+001, 2.4363453E+001, 2.3981982E+001, 2.3458742E+001, 2.3147575E+001, 2.2733404E+001, 2.2486221E+001, 2.2158156E+001, 2.1965837E+001, 2.1712197E+001, 2.1564557E+001, 2.1371353E+001, 2.1258055E+001, 2.1109328E+001, 2.1022112E+001, 2.0907354E+001, 2.0840232E+001, 2.0752264E+001, 2.0706895E+001
 8.0014457E+000, 3.1333666E+001, 3.2750312E+001, 3.4290220E+001, 3.6226631E+001, 3.3485792E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.5262624E+001, 3.4757115E+001, 3.3956715E+001, 3.2884424E+001, 3.2023537E+001, 3.0739283E+001, 2.9632288E+001, 2.8563410E+001, 2.7767373E+001, 2.7322084E+001, 2.6653028E+001, 2.6214516E+001, 2.5586773E+001, 2.5187842E+001, 2.4630514E+001, 2.4285358E+001, 2.3805898E+001, 2.3510851E+001, 2.3100053E+001, 2.2846460E+001, 2.2497517E+001, 2.2286070E+001, 2.2001454E+001, 2.1831876E+001, 2.1605952E+001, 2.1473632E+001, 2.1299081E+001, 2.1197516E+001, 2.1065032E+001, 2.0997325E+001
 9.0008848E+000, 8.0074059E+001, 3.7490677E+001, 3.9517915E+001, 4.1266131E+001, 3.2293357E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0128881E+001, 3.9026661E+001, 3.7378172E+001, 3.5639247E+001, 3.3906170E+001, 3.1981275E+001, 3.0477721E+001, 2.9372243E+001, 2.8389114E+001, 2.7803942E+001, 2.6967453E+001, 2.6492648E+001, 2.5872761E+001, 2.5511999E+001, 2.5014082E+001, 2.4717533E+001, 2.4304215E+001, 2.4044351E+001, 2.3676187E+001, 2.3442543E+001, 2.3107688E+001, 2.2894133E+001, 2.2589064E+001, 2.2396476E+001, 2.2125099E+001, 2.1958393E+001, 2.1729404E+001, 2.1592491E+001, 2.1411009E+001, 2.1318152E+001
 1.0004547E+001, 9.4490625E+001, 1.1486016E+002, 8.1625387E+001, 4.4726815E+001, 3.5057737E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.3644518E+001, 4.2138107E+001, 4.0311462E+001, 3.8310138E+001, 3.5742599E+001, 3.3442314E+001, 3.1874681E+001, 3.0317712E+001, 2.9090848E+001, 2.8341247E+001, 2.7328382E+001, 2.6777213E+001, 2.6095215E+001, 2.5699349E+001, 2.5178362E+001, 2.4857267E+001, 2.4409630E+001, 2.4132662E+001, 2.3767741E+001, 2.3560233E+001, 2.3285639E+001, 2.3118202E+001, 2.2878098E+001, 2.2721311E+001, 2.2489411E+001, 2.2337869E+001, 2.2117271E+001, 2.1976996E+001, 2.1779652E+001, 2.1674055E+001
 1.1001440E+001, 7.7159560E+001, 8.7562989E+001, 9.2891533E+001, 9.3703987E+001, 3.4437679E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.3192448E+001, 4.3710090E+001, 4.1737547E+001, 3.8989826E+001, 3.6275612E+001, 3.4431048E+001, 3.3136248E+001, 3.1169300E+001, 2.9710109E+001, 2.8864128E+001, 2.7790095E+001, 2.7180568E+001, 2.6416328E+001, 2.5971382E+001, 2.5371806E+001, 2.5013628E+001, 2.4509499E+001, 2.4208638E+001, 2.3828731E+001, 2.3609110E+001, 2.3322682E+001, 2.3156793E+001, 2.2931270E+001, 2.2793569E+001, 2.2605982E+001, 2.2492488E+001, 2.2335466E+001, 2.2237298E+001, 2.2098393E+001, 2.2022896E+001
 1.2003366E+001, 6.6162368E+001, 6.1148383E+001, 8.6732085E+001, 9.4945474E+001, 4.5703020E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.7009180E+001, 4.5350710E+001, 4.2256581E+001, 3.8994818E+001, 3.7050653E+001, 3.5584098E+001, 3.3643283E+001, 3.1571111E+001, 3.0331955E+001, 2.9586762E+001, 2.8562746E+001, 2.7942474E+001, 2.7120869E+001, 2.6619335E+001, 2.5923178E+001, 2.5497947E+001, 2.4910548E+001, 2.4572334E+001, 2.4141568E+001, 2.3884423E+001, 2.3544003E+001, 2.3342307E+001, 2.3068558E+001, 2.2913184E+001, 2.2743287E+001, 2.2675777E+001, 2.7970830E+001, 3.5927642E+001, 3.0594189E+001, 2.6737105E+001
 1.3002172E+001, 6.6736715E+001, 6.9741574E+001, 5.8665157E+001, 7.8834474E+001, 6.8814807E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.9586540E+001, 4.6024733E+001, 4.1611534E+001, 3.9259135E+001, 3.7286718E+001, 3.5169322E+001, 3.3221277E+001, 3.1893812E+001, 3.0745925E+001, 3.0122532E+001, 2.9159069E+001, 2.8551062E+001, 2.7719180E+001, 2.7186891E+001, 2.6431638E+001, 2.5961714E+001, 2.5335512E+001, 2.4982231E+001, 2.4523776E+001, 2.4256175E+001, 2.3907059E+001, 2.3701062E+001, 2.3431085E+001, 2.3281360E+001, 2.3122589E+001, 2.5307289E+001, 7.3373771E+001, 1.2658815E+002, 1.9736565E+002, 2.5337293E+002
 1.4004789E+001, 5.6542527E+001, 6.4487204E+001, 7.0175015E+001, 6.2926128E+001, 5.6611175E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.0702103E+001, 4.4188380E+001, 4.0548807E+001, 3.7769151E+001, 3.5586304E+001, 3.4091274E+001, 3.2881796E+001, 3.1781489E+001, 3.0784762E+001, 3.0218797E+001, 2.9402534E+001, 2.8914646E+001, 2.8185037E+001, 2.7693618E+001, 2.6957792E+001, 2.6468853E+001, 2.5802902E+001, 2.5421231E+001, 2.4923086E+001, 2.4643205E+001, 2.4303951E+001, 2.4125676E+001, 2.3924253E+001, 2.3823064E+001, 2.3684254E+001, 2.4164992E+001, 2.2661063E+002, 3.3012800E+002, 3.6300093E+002, 3.4995188E+002
 1.5001509E+001, 3.6255590E+001, 5.6500288E+001, 7.0013181E+001, 6.7820591E+001, 5.1880725E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.7791964E+001, 4.2736174E+001, 3.9327106E+001, 3.7178209E+001, 3.5671637E+001, 3.4344720E+001, 3.3134565E+001, 3.1982008E+001, 3.0978678E+001, 3.0432763E+001, 2.9670575E+001, 2.9182886E+001, 2.8464679E+001, 2.8008625E+001, 2.7348589E+001, 2.6924058E+001, 2.6345244E+001, 2.6006244E+001, 2.5530945E+001, 2.5248810E+001, 2.4913079E+001, 2.4732140E+001, 2.4525796E+001, 2.4427939E+001, 2.4309323E+001, 2.4304564E+001, 1.4494861E+002, 3.2066957E+002, 4.0998235E+002, 4.1351531E+002
 1.6000267E+001, 3.5732341E+001, 3.7817705E+001, 5.2961373E+001, 7.2120801E+001, 4.0208674E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.6182421E+001, 4.2160073E+001, 4.0065356E+001, 3.8260748E+001, 3.6805185E+001, 3.5364207E+001, 3.3931307E+001, 3.2674887E+001, 3.1690786E+001, 3.1092225E+001, 3.0154658E+001, 2.9547791E+001, 2.8736680E+001, 2.8251271E+001, 2.7596489E+001, 2.7239458E+001, 2.6804948E+001, 2.6535937E+001, 2.6165279E+001, 2.5952584E+001, 2.5692956E+001, 2.5539864E+001, 2.5312466E+001, 2.5174182E+001, 2.4982007E+001, 2.4855480E+001, 2.6923121E+001, 8.5302957E+001, 3.1691180E+002, 4.0836017E+002
 1.7005253E+001, 3.8010170E+001, 3.9687872E+001, 4.2001614E+001, 5.0724969E+001, 4.9135798E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.6720719E+001, 4.4352023E+001, 4.2149634E+001, 4.0345675E+001, 3.8547437E+001, 3.6765285E+001, 3.5254880E+001, 3.3970985E+001, 3.2813940E+001, 3.2118074E+001, 3.1046588E+001, 3.0398138E+001, 2.9470257E+001, 2.8923502E+001, 2.8318902E+001, 2.7991261E+001, 2.7551406E+001, 2.7299784E+001, 2.6955361E+001, 2.6777637E+001, 2.6581190E+001, 2.6504944E+001, 2.6304421E+001, 2.6066853E+001, 2.5795231E+001, 2.5633242E+001, 2.5415183E+001, 2.6024461E+001, 4.5288979E+001, 9.6900202E+001
 1.8002986E+001, 3.9798996E+001, 4.1321835E+001, 4.2971655E+001, 4.5340978E+001, 4.6732732E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.9057671E+001, 4.6673503E+001, 4.4488829E+001, 4.2481618E+001, 4.0578009E+001, 3.8824837E+001, 3.7269033E+001, 3.5572422E+001, 3.4245890E+001, 3.3361016E+001, 3.2204639E+001, 3.1439669E+001, 3.0532953E+001, 3.0095344E+001, 2.9529412E+001, 2.9163291E+001, 2.8719083E+001, 2.8426932E+001, 2.7968223E+001, 2.7622384E+001, 2.7201258E+001, 2.7492619E+001, 2.8970216E+001, 2.7272449E+001, 2.7339865E+001, 2.6513295E+001, 2.6672953E+001, 2.6018967E+001, 2.6060291E+001, 3.1439046E+001
 1.9005254E+001, 4.1053409E+001, 4.2591012E+001, 4.4247388E+001, 4.6083993E+001, 4.2925170E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.0961183E+001, 4.8479142E+001, 4.6433228E+001, 4.4604709E+001, 4.3255731E+001, 4.2094075E+001, 4.0379876E+001, 3.8460955E+001, 3.6485677E+001, 3.5098327E+001, 3.3631691E+001, 3.2893895E+001, 3.1973907E+001, 3.1613123E+001, 3.0973205E+001, 3.0676098E+001, 3.0162627E+001, 2.9857047E+001, 2.9273679E+001, 2.8796665E+001, 2.7776498E+001, 2.6906035E+001, 2.6826623E+001, 2.8808526E+001, 3.7940602E+001, 4.5214663E+001, 4.5028554E+001, 2.8226349E+001, 2.6418764E+001, 2.6837529E+001
 2.0007816E+001, 4.2786319E+001, 4.4895816E+001, 4.6740158E+001, 4.9018359E+001, 6.4334411E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.3244031E+001, 5.1264851E+001, 4.9295945E+001, 4.7832969E+001, 4.6820512E+001, 4.6651567E+001, 4.5474181E+001, 5.0198139E+001, 4.4998746E+001, 4.0439859E+001, 3.5884486E+001, 3.4658827E+001, 3.3563833E+001, 3.3125402E+001, 3.2225031E+001, 3.2278738E+001, 3.1571786E+001, 3.1759732E+001, 3.0894827E+001, 3.0410074E+001, 2.9680122E+001, 2.8765111E+001, 2.6797822E+001, 2.7359723E+001, 3.6111748E+001, 5.7838895E+001, 3.0535924E+001, 2.7661027E+001, 5.3860722E+001, 1.9479242E+002
 2.1005786E+001, 4.6583943E+001, 4.8776620E+001, 5.1457482E+001, 5.3612055E+001, 6.7449633E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.7082184E+001, 5.5875525E+001, 5.4270057E+001, 5.3081891E+001, 5.1789223E+001, 5.0438854E+001, 6.3282316E+001, 1.0512700E+002, 7.6775741E+001, 5.3632205E+001, 4.7055844E+001, 3.7927761E+001, 3.5867071E+001, 3.5200727E+001, 3.4142641E+001, 3.3465699E+001, 3.2375405E+001, 3.1811406E+001, 3.1432252E+001, 3.1536695E+001, 3.1151058E+001, 3.1114016E+001, 2.9485365E+001, 2.8315618E+001, 2.8461865E+001, 2.9829160E+001, 2.9110396E+001, 2.9700828E+001, 3.4244357E+002, 4.7143155E+002
